,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Employment.Private Non-farm Employment,Employment.Private Non-farm Employment Percent Change,Employment.Private Non-farm Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Housing.Units in Multi-Unit Structures,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Miscellaneous.Building Permits,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Merchant Wholesaler Sales,Sales.Retail Sales,Sales.Retail Sales per Capita,Employment.Firms.American Indian-Owned,Employment.Firms.Asian-Owned,Employment.Firms.Black-Owned,Employment.Firms.Hispanic-Owned,Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned,Employment.Firms.Total,Employment.Firms.Women-Owned
1179,Cumberland County,ME,16.4,19.6,4.9,41.0,93.7,26119,158929,0.5,10902,0.3,2.2,2.9,1.9,0.0,1.8,92.7,91.0,68.2,117359,140279,241800,2.34,26.1,57461,32880,11.4,906,5.8,835.24,7.9,84.1,0,22.3,51.4,22138,281674,287797,2.2,337.2,7349,34279,52771,19119,0.6,1.1,0.0,0.6,0.0,34968,29.0
274,Jefferson County,CO,14.7,20.9,5.3,40.7,93.7,51004,188932,0.4,16222,1.2,2.8,1.3,15.2,0.1,2.3,92.2,78.8,70.6,219562,233275,262400,2.42,25.1,68984,36087,8.6,2519,6.2,764.21,10.3,84.1,65666,26.2,50.3,42215,534543,558503,4.5,699.5,9604,25140,72821,13782,0.6,2.7,0.6,5.2,0.0,62249,30.2
1220,Dukes County,MA,19.8,18.3,4.7,40.7,93.4,3695,5322,1.0,1036,1.3,0.9,3.7,3.1,0.1,3.3,90.8,88.5,78.4,5891,17501,665300,2.8,5.3,66288,33363,10.1,120,7.8,103.25,8.4,92.6,0,16.5,50.5,966,16535,17356,5.0,160.2,957,0,3489,22333,0.0,0.0,4.0,0.0,0.0,4468,28.0
1949,Mecklenburg County,NC,10.0,24.6,7.0,40.7,88.8,83428,558911,4.1,28715,0.8,5.5,32.2,12.7,0.1,2.2,59.2,48.8,59.5,366689,419118,181900,2.54,31.2,55444,32482,15.4,9340,13.9,523.84,18.2,80.4,112010,24.7,51.9,52506,919628,1012539,10.1,1755.5,25505,171047,141142,16306,0.7,4.5,15.6,4.8,0.1,89165,30.8
1578,St. Louis County,MO,16.5,22.3,5.8,40.6,92.1,72436,559606,2.5,30847,0.2,4.0,23.9,2.7,0.0,2.0,69.9,67.6,71.0,403293,438081,174500,2.43,22.7,58910,34795,10.9,1062,6.7,507.8,8.7,86.2,226545,23.4,52.6,70308,998954,1001876,0.3,1967.2,24407,273666,172374,17347,0.2,3.6,10.5,1.1,0.0,91810,27.2
1676,Dawes County,NE,17.6,18.4,5.1,40.6,93.5,648,2224,0.7,277,4.1,1.5,1.8,4.3,0.6,2.8,89.2,86.1,64.8,3709,4221,100700,2.15,15.7,40359,21137,19.3,1,3.7,1396.46,6.0,75.8,0,13.1,50.6,777,9182,9042,-1.5,6.6,136,100,1645,18763,0.0,0.0,0.0,0.0,0.0,1055,0.0
320,Alachua County,FL,12.5,18.1,5.6,40.5,91.2,16536,84425,2.0,5850,0.3,5.9,20.5,9.1,0.1,2.6,70.6,62.6,54.1,96043,114060,167900,2.43,37.4,42149,24857,24.9,762,10.7,875.02,13.8,74.2,0,19.9,51.7,17015,247336,256380,3.7,282.7,4939,0,31522,13124,0.0,3.8,7.8,6.7,0.0,20676,31.6
1395,Washington County,MN,12.8,25.2,6.1,40.5,95.9,17472,72791,2.0,5519,0.5,5.5,4.3,3.8,0.1,2.1,87.4,84.1,81.3,88947,95667,241900,2.68,14.4,81540,36706,5.7,752,6.2,384.28,9.3,89.3,57518,25.2,50.5,15920,238136,249283,4.7,619.7,3408,17435,26907,11886,0.3,3.8,1.5,1.1,0.0,20974,28.9
2583,Denton County,TX,8.7,26.1,6.6,40.5,91.8,59107,182916,1.7,12517,0.9,7.7,9.6,19.0,0.1,2.5,79.3,61.7,65.5,243394,280409,184100,2.78,26.3,74155,33855,8.7,3565,14.2,878.43,22.0,80.7,40082,27.4,50.8,39891,662614,753363,13.7,754.3,7978,123589,76683,12465,0.6,6.2,5.3,8.6,0.0,58767,30.1
1229,Suffolk County,MA,11.0,17.3,5.7,40.4,83.9,49184,588364,0.4,20121,0.8,8.9,24.7,21.8,0.2,3.1,62.4,46.7,35.5,288240,318302,358700,2.39,80.5,53540,32835,20.8,3323,27.4,58.15,37.4,79.0,37034,29.0,51.7,23808,722023,767254,6.3,12415.7,37958,89148,75657,10381,0.7,7.8,11.0,8.3,0.1,55613,29.5
1871,Rockland County,NY,14.8,27.7,7.5,40.4,87.5,25962,103462,2.8,9425,0.5,6.7,13.1,17.1,0.1,1.9,77.7,63.4,69.9,98326,104525,435300,3.13,32.6,84951,34591,13.6,483,22.0,173.55,37.3,92.6,136704,30.2,51.0,11742,311687,323866,3.9,1795.9,4353,32281,38668,13019,0.0,6.5,7.3,6.8,0.0,32878,26.4
2257,Centre County,PA,12.4,15.4,4.1,40.4,92.7,9288,44783,0.8,3252,0.2,5.6,3.8,2.9,0.1,1.6,88.7,86.4,59.6,57197,65107,192600,2.4,29.5,50336,25545,20.5,511,7.0,1109.92,9.6,72.4,12164,19.9,47.6,9420,153990,158742,3.1,138.7,2400,5722,16042,11134,0.0,2.0,0.8,0.9,0.0,11078,25.5
58,Shelby County,AL,13.0,24.4,6.0,40.3,91.2,15634,76137,2.1,4845,0.4,2.2,12.1,6.0,0.0,1.3,84.0,78.5,79.0,74144,83498,193000,2.64,12.1,68770,33313,7.9,896,6.0,784.93,8.3,86.6,17230,29.0,51.2,13991,195085,206655,5.9,248.5,3018,43855,25204,13737,0.6,0.0,5.7,2.0,0.0,18393,30.5
2366,Brookings County,SD,10.5,19.7,6.1,40.2,93.6,1996,13353,1.3,869,1.3,2.8,1.5,2.5,0.1,1.3,93.0,90.9,58.0,11979,13823,147400,2.38,30.3,46896,23105,17.8,205,4.2,792.21,6.6,68.0,22657,14.4,49.0,2034,31965,33314,4.2,40.3,531,0,3382,11458,0.0,0.0,0.0,0.0,0.0,2269,26.2
3115,Waukesha County,WI,16.5,22.4,5.1,40.2,95.6,26370,222812,1.3,12424,0.3,3.3,1.4,4.6,0.1,1.3,93.6,89.4,76.9,153422,162596,253800,2.52,22.6,75850,37577,5.4,1020,4.6,549.57,7.2,89.2,156634,23.8,50.9,26579,389891,395118,1.3,709.4,6166,68820,59550,15712,0.3,2.2,0.8,1.0,0.0,36589,24.7
1026,Fayette County,KY,11.7,21.1,6.2,40.1,88.6,21120,156335,5.3,8450,0.3,3.8,15.0,6.9,0.1,2.4,78.3,72.3,55.2,123142,138827,165800,2.34,33.9,48398,29251,18.9,1225,8.9,283.65,11.9,75.5,30612,19.7,50.9,17908,295803,310797,5.1,1042.8,7857,44424,47784,16635,0.0,2.6,0.0,2.4,0.0,26074,27.2
1085,Oldham County,KY,11.7,26.2,4.6,40.1,91.7,4772,11331,7.9,1224,0.5,1.6,4.4,3.8,0.1,1.5,91.8,88.7,84.8,19532,21203,245700,2.89,7.1,83391,33591,6.8,215,3.7,187.22,5.6,88.8,2751,26.0,47.5,4487,60316,63490,5.3,322.2,471,955,3747,6621,0.0,1.3,1.5,0.0,0.0,5558,32.0
1368,Olmsted County,MN,14.0,24.7,7.1,40.1,94.3,9421,78672,-0.3,3494,0.3,6.2,5.7,4.5,0.1,2.1,85.7,81.7,74.9,57262,61766,171100,2.5,21.3,66252,34073,8.0,639,9.7,653.35,12.6,86.3,29713,17.5,51.1,9541,144248,150287,4.2,220.8,3268,7779,21820,15631,0.0,2.1,0.0,0.8,0.0,10097,25.7
1785,Middlesex County,NJ,13.4,22.0,6.0,40.1,88.8,51540,381947,3.6,21535,0.6,24.0,11.2,19.9,0.1,2.0,62.1,45.4,66.2,280988,299476,330000,2.82,34.6,79596,34345,8.5,1901,31.0,308.91,41.8,89.0,122072,32.4,50.8,33164,809858,836297,3.3,2621.6,12750,326317,111310,14274,0.3,19.5,0.0,9.4,0.0,67778,26.0
2233,Multnomah County,OR,11.9,19.8,5.9,39.9,89.7,62224,390372,1.8,25361,1.5,7.2,5.7,11.2,0.6,4.4,80.5,71.3,54.2,305939,330768,271600,2.39,37.0,52511,30475,17.8,5090,14.1,431.3,19.6,80.0,105276,24.8,50.6,44741,735334,776712,5.6,1704.9,20486,220438,98684,14157,0.8,6.2,3.0,3.0,0.2,75230,31.6
254,Clear Creek County,CO,17.9,15.4,3.8,39.8,96.6,978,2574,5.4,327,1.2,0.8,0.9,5.5,0.1,1.6,95.3,90.7,81.3,4024,5690,268500,2.21,10.5,67259,41716,10.2,11,4.0,395.23,4.3,88.6,0,32.6,48.0,903,9088,9187,1.1,23.0,250,69,731,8185,0.0,0.0,0.0,0.0,0.0,1193,0.0
430,DeKalb County,GA,10.4,23.7,7.3,39.7,88.4,71233,260194,3.1,16052,0.5,5.9,54.8,8.9,0.1,2.0,36.7,29.9,56.7,264496,306954,168900,2.59,36.2,50856,28810,19.0,1231,16.3,267.58,18.6,81.2,74890,30.7,52.5,41447,691893,722161,4.4,2585.7,12077,93611,79733,10867,0.9,6.8,39.6,3.6,0.1,73184,37.2
1821,Santa Fe County,NM,19.6,19.5,4.8,39.7,87.0,15652,44633,1.1,4714,4.1,1.4,1.2,51.3,0.2,2.1,91.0,43.1,69.6,61012,71749,278400,2.33,15.9,52917,32298,17.0,161,13.5,1909.41,36.1,85.0,0,22.1,51.3,11185,144170,148164,2.8,75.5,5404,0,24262,16923,2.5,1.1,0.7,16.3,0.0,20479,33.7
2652,Kendall County,TX,19.1,23.4,4.9,39.7,90.0,4656,10932,3.9,1112,0.7,1.0,1.1,22.4,0.1,1.5,95.7,74.4,74.5,12760,15011,274400,2.7,11.5,73410,35827,9.3,380,8.3,662.45,17.6,84.8,1809,26.7,51.2,3749,33410,38880,16.4,50.4,557,2853,8080,25877,0.0,0.0,1.1,7.8,0.0,5224,28.0
2862,Henrico County,VA,13.8,23.4,6.3,39.7,90.1,21238,163041,3.5,8868,0.4,7.9,30.1,5.4,0.1,2.2,59.3,55.0,65.2,123683,135002,219900,2.49,27.6,61048,33115,10.7,693,11.5,233.7,14.2,83.1,32649,21.9,52.8,22033,306935,321924,4.9,1313.4,6858,61973,67371,23251,0.7,5.4,15.4,2.3,0.0,25677,28.1
415,Clarke County,GA,9.7,17.6,5.8,39.5,85.1,7804,44643,3.5,2912,0.4,4.4,27.7,10.8,0.1,1.9,65.5,56.0,43.9,41358,51781,156600,2.61,44.1,33060,19295,36.7,538,10.4,119.2,13.5,75.6,19712,19.0,52.3,5581,116714,120938,3.6,979.1,2933,17824,16691,14711,0.3,3.2,0.0,3.1,0.0,10181,26.0
1375,Ramsey County,MN,12.9,23.4,7.1,39.4,89.9,35978,292031,2.0,13170,1.0,13.8,11.7,7.3,0.1,3.4,70.1,64.2,59.8,205395,218169,198200,2.43,37.9,54247,29484,16.9,728,14.3,152.21,20.8,81.5,75789,22.6,51.3,28775,508640,532655,4.7,3341.7,9635,92783,61565,12328,0.6,5.1,5.6,1.7,0.0,43851,30.6
2241,Washington County,OR,11.9,24.3,6.6,39.4,90.8,33720,236283,0.5,14380,1.1,9.9,2.2,16.3,0.5,4.0,82.2,67.8,61.0,201771,218881,282400,2.64,30.7,64180,31078,11.4,3030,16.7,724.23,23.3,82.6,240489,24.2,50.7,32864,529710,562998,6.3,731.4,8494,110217,87543,16886,0.0,7.3,0.0,4.7,0.2,43601,32.9
2325,Charleston County,SC,14.5,20.2,6.1,39.4,88.3,33229,183068,1.8,12138,0.4,1.6,28.6,5.1,0.1,1.5,67.7,63.4,60.6,143717,178050,236100,2.41,29.3,50792,30158,18.2,3123,5.4,916.09,7.2,80.4,53381,22.4,51.6,31268,350209,381015,8.8,382.3,13827,32673,63209,18348,0.3,1.3,9.9,1.4,0.0,38458,27.3
2402,Lincoln County,SD,10.4,29.2,8.3,39.4,95.6,4227,13719,3.7,1294,0.5,1.3,1.3,1.8,0.0,1.5,95.4,93.7,77.0,17250,19055,184900,2.68,18.7,74751,34839,4.5,261,2.3,577.28,3.7,85.9,0,19.5,50.4,2947,44828,51548,15.0,77.7,276,3377,4444,11773,0.0,0.0,0.0,0.0,0.0,4347,24.1
284,Mineral County,CO,26.5,12.6,4.7,39.3,96.5,151,220,7.3,66,0.9,0.4,0.4,4.4,0.0,1.1,97.1,92.8,83.7,393,1225,275000,1.85,0.0,47083,42255,6.4,6,1.1,875.67,3.2,92.3,0,14.6,47.6,111,712,698,-2.0,0.8,94,0,60,6239,0.0,0.0,0.0,0.0,0.0,510,0.0
1275,Leelanau County,MI,27.7,17.4,3.8,39.2,94.2,2749,4366,9.7,737,3.6,0.6,0.5,4.1,0.0,1.7,93.6,90.6,85.1,9103,15221,235600,2.34,9.1,55018,31462,11.2,113,3.1,347.17,5.3,90.9,0,22.2,50.8,2225,21708,21915,1.0,62.5,406,171,1282,5857,0.0,0.0,0.0,0.0,0.0,3437,27.1
1565,Platte County,MO,13.0,23.9,6.1,39.2,94.2,6798,37383,-3.9,2244,0.6,2.7,6.4,5.7,0.5,2.5,87.4,82.5,64.3,36781,40155,184900,2.45,28.1,67721,35143,7.4,228,5.8,420.19,7.3,82.3,20773,23.3,50.6,7457,89322,94788,6.1,212.6,4655,35354,17374,19821,0.0,3.2,3.4,2.1,0.0,8768,29.4
311,Middlesex County,CT,17.7,19.4,4.5,39.1,93.8,13156,60406,0.9,4147,0.2,3.0,5.4,5.8,0.1,1.9,89.4,84.6,76.2,66141,75274,292000,2.41,23.0,76994,39992,6.4,228,7.3,369.3,10.4,89.4,33360,25.2,51.2,11973,165676,164943,-0.4,448.6,2934,9538,21291,12980,0.4,3.4,1.3,1.5,0.2,15693,28.0
1217,Barnstable County,MA,27.8,15.9,3.9,39.1,94.5,24948,71779,3.0,8323,0.7,1.4,2.5,2.7,0.1,1.8,93.5,91.4,79.0,95398,161718,366700,2.21,14.5,60526,36142,9.3,640,6.8,393.72,8.1,91.4,5332,24.6,52.4,21360,215888,214914,-0.5,548.3,8909,0,39732,17878,0.5,1.5,1.2,0.0,0.0,32205,28.3
1629,Missoula County,MT,13.6,19.4,5.4,39.1,94.5,9374,46400,-3.1,4177,2.9,1.5,0.6,3.1,0.1,2.7,92.1,89.7,58.8,45523,51411,237500,2.36,26.5,46117,25764,16.5,578,2.8,2593.42,4.6,77.9,6748,16.7,49.7,8903,109299,112684,3.1,42.1,2690,8600,21793,20589,1.2,0.6,0.3,0.0,0.0,14122,24.5
192,Contra Costa County,CA,14.2,23.4,5.8,39.0,88.8,82405,306661,3.5,22338,1.0,16.4,9.6,25.2,0.6,5.1,67.3,45.6,65.9,375855,406772,404000,2.81,23.6,78756,38219,10.5,2001,23.5,715.94,33.3,85.3,320214,33.3,51.3,57474,1049025,1111339,5.9,1465.2,15622,66439,117637,11641,1.4,14.8,4.1,10.9,0.3,95688,31.2
246,Arapahoe County,CO,11.9,24.5,6.5,38.8,91.4,50623,259423,5.3,17284,1.1,5.6,10.9,18.8,0.2,3.7,78.3,62.1,62.7,225552,243745,230700,2.58,34.4,60651,32595,12.1,1897,14.9,798.1,22.1,80.6,20429,26.9,50.7,42954,572003,618821,8.2,716.7,10085,57741,99319,18277,0.8,5.2,4.1,6.2,0.1,61951,28.4
1784,Mercer County,NJ,13.8,21.9,5.9,38.8,87.3,23100,185388,2.0,9701,0.6,10.4,21.2,16.6,0.2,2.2,65.5,51.8,65.8,130754,144991,286900,2.67,30.1,73480,37465,11.2,368,20.9,224.56,28.2,87.6,0,27.2,51.0,17493,366513,371537,1.1,1632.2,6958,84209,50891,14004,0.0,10.0,7.6,4.8,0.0,30067,29.9
1828,Albany County,NY,15.3,18.9,5.0,38.8,92.1,17594,172571,1.3,9409,0.3,5.8,13.7,5.7,0.1,2.5,77.6,73.8,59.3,122700,138253,209300,2.35,43.0,59394,32328,13.0,775,9.1,522.8,12.2,85.5,33514,20.0,51.7,18471,304204,308171,1.3,581.9,7389,36425,54043,18121,0.0,0.0,0.0,2.2,0.0,24798,29.9
2543,Brazos County,TX,8.3,20.5,6.2,38.8,85.0,11844,57295,4.0,3991,0.7,5.6,11.4,24.8,0.1,1.8,80.4,57.2,46.0,70239,83500,151400,2.61,38.6,38310,21720,29.8,1786,13.0,585.45,23.1,68.0,9794,18.0,49.3,8937,194851,209152,7.3,332.8,3402,7796,21191,12425,0.9,0.0,5.8,9.7,0.0,13887,0.0
1332,Dakota County,MN,12.1,25.0,6.5,38.7,94.7,27905,172509,3.6,10099,0.5,4.9,5.7,6.6,0.1,2.7,86.2,80.5,75.8,154275,162861,223300,2.59,21.5,73732,34828,7.6,1416,8.2,562.17,11.4,87.0,129300,24.1,50.8,27400,398552,412529,3.5,709.0,6142,44154,51639,13231,0.0,2.7,2.8,1.8,0.1,36982,28.3
44,Madison County,AL,13.7,22.4,5.8,38.5,90.0,22681,153304,0.8,8095,0.8,2.6,24.6,4.7,0.1,2.5,69.4,65.5,69.3,132975,154452,164500,2.5,21.4,58434,31933,12.8,2677,5.4,801.59,7.1,84.7,86507,21.0,51.2,34203,334811,350299,4.6,417.7,5963,29704,44386,14145,1.4,3.5,12.3,1.3,0.0,26467,29.2
1867,Putnam County,NY,14.8,21.4,4.5,38.4,92.2,8809,19914,-2.9,2824,0.3,2.4,3.2,13.0,0.1,1.8,92.3,80.8,83.1,34496,38320,372200,2.82,15.2,95117,40309,5.8,85,12.3,230.31,18.5,93.5,0,38.6,50.2,5047,99710,99487,-0.3,432.9,944,5046,9223,9315,0.0,1.9,5.1,6.2,0.0,11542,27.6
1202,Frederick County,MD,12.9,23.9,6.0,38.2,91.8,17140,83799,1.1,5955,0.5,4.5,9.4,8.4,0.1,2.7,82.8,75.7,75.3,86337,93572,307000,2.69,16.7,84570,36917,6.1,1311,9.6,660.22,12.3,88.0,30036,34.6,50.7,17508,233385,243675,4.4,353.5,3564,12521,30662,13629,0.0,3.3,5.9,3.6,0.0,21430,31.1
2817,Washington County,VT,17.0,19.4,4.9,38.1,93.5,6007,25548,-4.8,2217,0.3,0.9,0.9,1.9,0.0,1.9,96.0,94.4,73.1,24661,30119,205000,2.31,26.1,57281,29761,9.6,127,3.4,687.23,3.8,89.2,10118,22.2,50.6,4754,59534,58998,-0.9,86.6,1189,0,9465,16125,0.0,0.7,0.5,1.0,0.0,8264,23.0
2892,Prince William County,VA,8.3,28.1,7.9,38.1,89.1,30436,94198,3.9,7386,1.1,8.4,21.5,22.0,0.2,4.4,64.4,45.7,72.1,132442,144787,321400,3.11,16.4,98071,37401,6.3,1225,21.4,336.4,30.2,85.5,5635,39.2,50.2,40034,402002,446094,11.0,1195.0,5378,17505,49489,13724,1.2,9.3,13.9,14.7,0.1,32220,28.6
3023,Monongalia County,WV,10.8,16.0,5.0,38.1,90.7,5203,44269,0.8,2248,0.2,3.2,3.9,2.0,0.1,1.9,90.8,89.0,57.0,36449,44494,161800,2.5,33.2,44173,25846,22.4,100,4.5,360.06,5.7,79.8,0,20.8,48.6,5456,96189,103463,7.6,267.1,1928,3703,12896,14727,0.0,3.6,0.0,0.0,0.0,5962,0.0
1383,Scott County,MN,9.3,28.8,7.4,38.0,94.6,10136,40780,3.0,3214,1.1,6.2,3.6,4.8,0.1,2.1,87.0,82.9,84.8,45630,49184,244400,2.89,9.2,86112,35467,5.5,894,8.6,356.48,11.8,89.7,19249,26.7,50.2,7268,129928,139672,7.5,364.5,5274,13007,11696,9270,0.4,3.0,1.5,1.0,0.0,12029,30.1
2768,Williamson County,TX,10.9,27.1,6.8,38.0,92.0,34913,137138,7.5,8908,0.9,6.0,6.8,23.9,0.1,2.6,83.6,61.7,68.6,154948,175677,178900,2.82,20.3,71803,31070,7.0,4706,10.9,1118.3,20.7,81.3,16476,26.0,50.9,33319,422679,489250,15.8,378.0,5836,15251,99180,26573,0.0,5.9,4.0,10.8,0.0,33853,30.5
2856,Goochland County,VA,19.4,19.1,4.0,38.0,87.4,1969,17205,0.0,638,0.3,1.3,17.7,2.4,0.0,1.4,79.3,77.3,90.2,8058,8900,338500,2.4,0.8,80976,45039,5.6,127,2.8,281.42,5.4,92.5,0,30.1,50.6,2026,21717,21936,1.1,77.2,158,973,1839,8914,0.0,0.0,0.0,0.0,0.0,2336,23.6
242,Yolo County,CA,11.5,21.7,5.8,37.9,84.3,11858,60719,1.4,3878,1.8,13.8,3.0,31.5,0.6,5.0,75.9,48.3,52.9,70347,76720,314300,2.76,30.6,55918,27730,19.1,218,21.7,1014.69,34.7,76.0,18533,21.6,51.3,10321,200849,207590,3.4,197.9,8403,64836,17657,9106,0.0,10.5,0.0,11.2,0.0,14782,29.9
1984,Watauga County,NC,14.2,13.2,3.4,37.9,89.0,4596,16384,-0.3,1562,0.3,1.1,1.9,3.5,0.0,1.4,95.1,92.1,54.9,20909,32957,228700,2.2,25.2,34293,21854,31.3,243,3.5,312.56,5.3,70.2,1298,18.5,50.0,3180,51079,52560,2.9,163.4,1314,1692,7952,17836,0.0,0.0,0.0,0.0,0.0,5893,21.7
2125,Warren County,OH,13.0,25.9,5.9,37.9,92.0,15102,73166,1.2,3928,0.2,4.7,3.5,2.6,0.0,1.5,90.1,87.8,77.9,76546,83583,188500,2.74,15.4,72487,33172,6.3,1301,5.6,401.31,7.5,87.3,41112,24.4,49.8,15059,212693,221659,4.1,530.0,3298,20067,18626,9129,0.0,0.0,1.5,1.8,0.0,16738,29.0
1768,Grafton County,NH,18.0,17.2,4.3,37.7,91.6,7890,47625,1.2,2867,0.4,3.5,1.1,2.2,0.0,1.9,93.1,91.2,69.0,35111,51624,212000,2.35,20.5,54912,30738,11.2,187,5.8,1708.75,7.1,84.2,13142,21.8,50.7,7786,89118,89658,0.6,52.2,2728,0,19612,22919,0.0,0.0,0.0,0.3,0.0,11174,24.0
2322,Beaufort County,SC,24.1,19.9,5.8,37.6,91.3,14067,49929,0.8,4800,0.4,1.4,19.1,11.4,0.1,1.8,77.1,67.1,71.4,64417,94287,275500,2.46,24.4,57316,32503,12.5,1197,10.3,576.28,13.9,81.7,2234,20.9,50.9,18885,162233,175852,8.4,281.5,5304,2981,22550,15240,0.0,1.7,7.4,2.0,0.0,16367,25.5
1622,Lewis and Clark County,MT,16.2,21.8,5.9,37.5,94.7,5294,24645,4.3,2210,2.2,0.7,0.5,3.0,0.1,2.4,94.1,91.6,72.3,26555,30594,203600,2.35,18.9,56243,28400,10.4,338,1.5,3458.83,3.6,83.6,0,17.6,50.8,6310,63395,65856,3.9,18.3,1185,1995,9729,16180,1.0,0.0,0.0,0.0,0.0,6373,24.9
1329,Cook County,MN,24.3,16.3,4.0,37.4,94.8,782,2076,2.8,279,9.0,0.7,0.6,1.9,0.1,2.6,86.9,85.8,73.1,2614,5965,240500,1.96,8.5,52215,32868,8.3,39,3.1,1452.28,5.5,86.4,0,16.7,50.5,525,5176,5233,1.1,3.6,403,0,618,11420,0.0,0.0,0.0,0.0,0.0,914,0.0
1436,Lafayette County,MS,11.3,18.1,5.4,37.2,86.3,3634,14001,5.1,1067,0.3,2.6,23.7,2.3,0.1,1.2,72.0,70.2,59.4,15743,23978,163000,2.77,25.6,43328,21388,25.6,471,2.9,631.71,4.6,71.8,0,18.3,51.2,2287,47351,52930,11.8,75.0,962,0,5071,11711,0.0,0.0,0.0,0.0,0.0,3805,21.9
1771,Rockingham County,NH,15.2,20.6,4.6,37.2,94.5,25514,128330,0.8,9422,0.2,1.9,0.9,2.6,0.0,1.4,95.5,93.3,76.8,116262,128444,282100,2.53,21.7,77348,38399,5.5,875,4.5,694.72,6.5,89.6,39125,29.1,50.5,23377,295223,300621,1.8,425.0,6607,58448,64148,21603,0.0,1.5,0.5,0.9,0.0,34778,27.8
1998,Cass County,ND,10.8,22.1,6.9,37.2,94.6,11239,97100,1.9,5179,1.3,2.6,3.7,2.4,0.1,1.9,90.5,88.5,53.4,65816,75125,158900,2.27,43.4,52590,30529,13.0,3207,5.4,1764.94,6.9,77.3,24800,16.4,49.3,10037,149778,167005,11.5,84.9,3411,0,28855,20953,0.0,1.4,0.3,0.4,0.0,13937,26.6
2942,Poquoson city,VA,18.3,21.8,3.6,37.2,92.7,785,1311,-10.7,214,0.4,2.4,1.2,2.3,0.0,1.6,94.4,92.4,81.8,4591,4749,302400,2.62,7.5,81892,38444,5.6,24,4.1,15.32,6.4,90.7,0,22.8,50.5,1363,12150,12048,-0.9,793.2,91,0,547,4628,0.0,0.0,0.0,0.0,0.0,961,19.6
1194,Anne Arundel County,MD,13.4,22.6,6.3,37.1,90.7,39029,220926,4.2,13750,0.4,3.9,16.6,7.2,0.1,2.9,76.1,70.2,74.2,199904,218903,340000,2.65,17.7,87430,40415,6.3,2441,8.1,414.9,10.6,86.9,36101,29.8,50.5,54387,537656,560133,4.2,1295.9,12880,69221,94649,18491,0.4,4.6,9.0,3.2,0.0,49600,31.4
1873,Saratoga County,NY,15.9,21.1,5.1,37.1,93.4,14938,65942,4.3,5124,0.2,2.4,1.8,2.9,0.0,1.6,93.9,91.4,71.9,88460,101819,230700,2.45,23.9,69826,35176,6.5,969,4.6,809.98,6.3,89.0,17835,24.5,50.6,16746,219607,224921,2.4,271.1,3335,22393,45064,20838,0.2,0.0,1.0,0.0,0.0,18851,28.5
229,Santa Cruz County,CA,13.5,20.1,5.6,37.0,84.9,23649,70493,2.9,6779,1.8,4.8,1.4,33.2,0.2,4.1,87.7,58.2,58.8,93504,105275,557500,2.72,20.4,66519,32295,14.6,291,18.3,445.17,31.0,84.1,15024,25.4,50.4,12471,262382,271804,3.6,589.4,5138,0,37253,14894,0.0,4.8,0.0,0.0,0.0,29122,34.2
314,Tolland County,CT,14.0,18.5,4.0,36.9,93.0,9190,30798,1.7,2398,0.2,4.1,3.6,5.0,0.1,1.8,90.3,86.2,74.4,54327,58529,254800,2.52,24.5,80529,34392,6.5,203,6.9,410.21,10.6,85.7,10217,25.8,49.8,10916,152691,151367,-0.9,372.2,1730,2143,12063,8140,0.0,2.9,0.0,1.8,0.0,11698,32.5
2779,Cache County,UT,8.6,31.1,9.3,36.9,92.5,7934,38782,0.7,3041,1.0,2.6,0.8,10.5,0.5,1.9,93.2,84.2,64.5,35375,39368,189100,3.12,23.2,49506,20074,16.6,749,6.9,1164.81,13.8,78.3,0,16.6,50.1,4258,112656,118343,5.0,96.7,951,3616,10950,10079,0.0,1.0,0.0,2.6,0.0,10332,22.2
215,Orange County,CA,13.1,23.0,6.1,36.8,83.8,278270,1381148,2.4,89496,1.1,19.6,2.1,34.3,0.4,3.3,73.5,42.0,58.7,995512,1072011,519600,3.02,34.2,75422,34057,12.4,9291,30.4,790.57,45.5,84.9,491319,26.3,50.6,131229,3010232,3145515,4.5,3807.7,82478,979636,450225,15221,1.0,19.2,1.3,12.4,0.3,329380,28.4
