,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Employment.Private Non-farm Employment,Employment.Private Non-farm Employment Percent Change,Employment.Private Non-farm Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Housing.Units in Multi-Unit Structures,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Miscellaneous.Building Permits,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Merchant Wholesaler Sales,Sales.Retail Sales,Sales.Retail Sales per Capita,Employment.Firms.American Indian-Owned,Employment.Firms.Asian-Owned,Employment.Firms.Black-Owned,Employment.Firms.Hispanic-Owned,Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned,Employment.Firms.Total,Employment.Firms.Women-Owned
1226,Nantucket County,MA,13.4,20.9,6.4,44.0,94.0,2322,4400,11.4,934,0.2,1.4,8.1,12.8,0.0,1.8,88.4,76.7,65.8,4069,11822,929700,2.4,10.4,85478,47331,10.4,149,16.6,44.97,13.0,90.0,0,12.1,48.9,510,10172,10856,6.7,226.2,889,397,3428,30997,0.0,0.0,0.0,0.0,0.0,3017,24.3
279,Larimer County,CO,13.9,20.5,5.4,43.8,94.4,28499,112150,2.0,9723,1.0,2.2,1.1,11.1,0.1,2.4,93.2,83.5,65.6,121423,138534,247100,2.45,21.8,58626,30740,14.1,2498,5.4,2596.0,9.0,78.8,32267,22.6,50.2,22809,299630,324122,8.2,115.4,6043,12651,39228,13672,0.5,1.8,0.4,3.6,0.0,34660,29.7
444,Forsyth County,GA,11.1,28.9,6.2,43.8,91.4,17610,64358,5.2,5513,0.5,9.1,3.5,9.7,0.1,1.6,85.2,76.4,85.6,58080,71045,258200,3.14,4.0,86569,34582,7.6,3194,13.8,224.02,18.1,89.1,23186,29.9,50.3,10111,175511,204302,16.4,783.5,1831,25034,19609,12382,0.5,4.3,1.9,4.4,0.0,19448,27.5
419,Cobb County,GA,10.6,24.6,6.6,43.7,90.8,71103,302767,-0.3,19159,0.5,5.1,27.3,12.7,0.1,2.4,64.6,53.9,66.4,261242,292870,196700,2.64,24.9,63920,33069,12.8,3103,15.1,339.55,20.3,81.2,56516,29.5,51.6,44559,688078,730981,6.2,2026.4,13934,155248,104807,15157,0.7,4.8,18.6,5.5,0.1,77945,31.7
2311,Bristol County,RI,18.8,19.6,4.0,43.7,89.8,4166,12710,3.0,1231,0.2,1.8,1.1,2.4,0.0,1.6,95.3,93.2,72.4,19174,20803,341000,2.42,29.3,71238,38893,6.4,30,9.0,24.16,13.1,87.6,4965,25.8,51.8,3324,49875,49060,-1.6,2064.0,682,2274,2957,5917,0.0,1.1,0.0,1.6,0.0,4937,33.9
813,Dallas County,IA,11.2,28.6,8.2,43.6,94.4,5486,34419,1.1,1718,0.4,3.6,1.8,6.3,0.1,1.4,92.7,87.0,77.4,26262,29884,184100,2.63,17.5,73847,35844,6.4,661,6.6,588.45,8.6,86.9,5741,20.5,51.0,3902,66135,77400,17.0,112.4,1103,2182,9057,15813,0.0,2.2,0.6,1.1,0.0,6613,19.9
2315,Washington County,RI,17.9,18.0,3.8,43.5,92.7,11092,40756,2.6,3723,0.9,2.1,1.4,3.0,0.0,1.8,93.7,91.3,74.5,49430,62893,321900,2.44,18.3,72138,37023,8.9,251,4.3,329.24,6.6,87.0,17569,25.9,51.7,9875,126979,126653,-0.3,385.7,2727,14531,17266,13619,0.4,1.1,0.7,1.0,0.0,14253,26.0
749,Monroe County,IN,11.4,16.1,4.5,43.4,91.9,8760,49288,0.6,2901,0.3,6.4,3.5,3.3,0.1,2.4,87.3,84.5,54.0,53914,60112,156300,2.32,34.6,40052,23032,25.1,521,7.9,394.51,9.9,67.7,17992,18.2,50.2,7448,137974,143339,3.9,349.7,2877,6831,15307,11968,0.0,2.3,1.8,1.5,0.0,10571,25.2
494,Oconee County,GA,13.5,26.8,5.3,43.1,91.3,3547,9398,6.4,1000,0.3,3.9,5.4,4.6,0.0,1.3,89.0,84.9,78.9,11485,13147,238200,2.88,6.6,75004,33801,9.3,299,5.0,184.29,7.4,91.7,0,23.7,51.1,2131,32808,35093,6.9,178.0,388,729,3263,10357,0.0,1.2,0.0,1.4,0.0,4300,21.4
1293,Oakland County,MI,15.1,22.1,5.5,43.1,92.7,108991,644865,3.0,38381,0.3,6.5,14.5,3.8,0.0,2.1,76.5,73.3,71.5,486332,533047,170500,2.47,22.3,65594,36458,10.3,2458,11.4,867.66,14.0,86.0,258851,26.1,51.4,67718,1202362,1237868,3.0,1385.7,22848,298257,181836,15131,0.5,4.7,8.3,1.0,0.0,128040,28.6
